0 0
0.20233 -0.949695
0.212437 -1.04219
0.219554 -1.08307
0.224078 -1.11223
0.22785 -1.13177
0.230326 -1.14596
0.23258 -1.16058
0.232341 -1.15733
0.22484 -1.08707
0 0
0.202647 -0.956382
0.21288 -1.04446
0.220162 -1.09327
0.224914 -1.11772
0.228319 -1.13684
0.230837 -1.14755
0.233087 -1.16113
0.233287 -1.16306
0.233669 -1.16674
0 0
0.200986 -0.934262
0.211826 -1.035
0.219478 -1.08529
0.223814 -1.10889
0.227713 -1.13048
0.230451 -1.14677
0.2319 -1.1519
0.231747 -1.14965
0.236727 -1.21746
0 0
0.201774 -0.940217
0.213158 -1.04832
0.220034 -1.08885
0.224357 -1.11142
0.228105 -1.13521
0.230969 -1.15218
0.233145 -1.1639
0.232848 -1.15888
0.233346 -1.18771
0 0
0.201084 -0.933617
0.212129 -1.03597
0.219012 -1.07962
0.224371 -1.11528
0.22709 -1.12421
0.229402 -1.13488
0.232148 -1.15457
0.231751 -1.15131
0.233825 -1.17542
0 0
0.201648 -0.936363
0.212346 -1.03963
0.219218 -1.08145
0.224192 -1.11228
0.227346 -1.12983
0.229665 -1.14008
0.232072 -1.1564
0.232098 -1.15527
0.23524 -1.19943
