0 0
0.201232 -1.00947
0.207553 -1.07716
0.213829 -1.10165
0.217145 -1.12186
0.220458 -1.16741
0.22359 -1.22825
0.226479 -1.30402
0.226668 -1.37011
0.225488 -1.45688
0 0
0.197423 -0.975077
0.20437 -1.01246
0.215049 -1.08631
0.218486 -1.1006
0.218645 -1.10554
0.219856 -1.13945
0.219286 -1.16559
0.219087 -1.21059
0.221795 -1.30088
0 0
0.197381 -0.988142
0.209949 -1.10285
0.215857 -1.1188
0.21988 -1.14603
0.220504 -1.15965
0.226815 -1.26374
0.22881 -1.33568
0.226924 -1.38956
0.21997 -1.4082
0 0
0.18777 -0.892892
0.198804 -1.00481
0.209816 -1.0906
0.215048 -1.11891
0.218401 -1.13694
0.221764 -1.16584
0.225656 -1.2161
0.228833 -1.28444
0.228161 -1.34519
0 0
0.197711 -0.97406
0.208762 -1.07982
0.218481 -1.15156
0.221863 -1.16233
0.222802 -1.1562
0.222474 -1.14528
0.22175 -1.13725
0.21954 -1.11712
0.216218 -1.09426
0 0
0.198306 -0.981174
0.209544 -1.08578
0.221003 -1.17655
0.22733 -1.22691
0.230317 -1.26216
0.23842 -1.38061
0.242428 -1.47588
0.24472 -1.57429
0.246185 -1.67625
